year,month,route,destination_airport,total_flight_count,total_paid_passenger_count,carrier_count,lcc_carrier_count,lcc_share,passengers_per_flight
2024,4,ICN-MYJ,MYJ,0.0,10602.0,1,2,2.0,0
2024,4,ICN-NGO,NGO,0.0,72219.0,4,2,0.5,0
2024,4,ICN-NRT,NRT,0.0,361739.0,12,10,0.8333,0
2024,4,ICN-OIT,OIT,0.0,7423.0,1,2,2.0,0
2024,4,ICN-OKA,OKA,0.0,49154.0,5,4,0.8,0
2024,4,ICN-OKJ,OKJ,0.0,2497.0,1,0,0.0,0
2024,4,ICN-SDJ,SDJ,0.0,6598.0,1,0,0.0,0
2024,4,ICN-TAK,TAK,0.0,10641.0,1,2,2.0,0
2024,4,ICN-YGJ,YGJ,0.0,3994.0,1,2,2.0,0
2024,5,ICN-AOJ,AOJ,0.0,2209.0,1,0,0.0,0
2024,5,ICN-CTS,CTS,0.0,69662.0,6,4,0.6667,0
2024,5,ICN-FSZ,FSZ,0.0,9813.0,1,2,2.0,0
2024,5,ICN-FUK,FUK,0.0,274830.0,8,8,1.0,0
2024,5,ICN-HIJ,HIJ,0.0,16528.0,1,2,2.0,0
2024,5,ICN-HND,HND,0.0,26699.0,3,2,0.6667,0
2024,5,ICN-KIJ,KIJ,0.0,2410.0,1,0,0.0,0
2024,5,ICN-KIX,KIX,0.0,367842.0,9,12,1.3333,0
2024,5,ICN-KKJ,KKJ,0.0,9558.0,1,0,0.0,0
2024,5,ICN-KMI,KMI,0.0,3596.0,1,0,0.0,0
2024,5,ICN-KMJ,KMJ,0.0,9539.0,1,2,2.0,0
2024,5,ICN-KOJ,KOJ,0.0,3145.0,1,0,0.0,0
2024,5,ICN-MYJ,MYJ,0.0,11195.0,1,2,2.0,0
2024,5,ICN-NGO,NGO,0.0,76597.0,4,2,0.5,0
2024,5,ICN-NRT,NRT,0.0,380982.0,13,12,0.9231,0
2024,5,ICN-OIT,OIT,0.0,7264.0,1,2,2.0,0
2024,5,ICN-OKA,OKA,0.0,53828.0,5,4,0.8,0
2024,5,ICN-OKJ,OKJ,0.0,2578.0,1,0,0.0,0
2024,5,ICN-SDJ,SDJ,0.0,6902.0,1,0,0.0,0
2024,5,ICN-TAK,TAK,0.0,10610.0,1,2,2.0,0
2024,5,ICN-YGJ,YGJ,0.0,4356.0,1,2,2.0,0
2024,6,ICN-AOJ,AOJ,0.0,2851.0,1,0,0.0,0
2024,6,ICN-CTS,CTS,0.0,102996.0,6,4,0.6667,0
2024,6,ICN-FSZ,FSZ,0.0,9789.0,1,2,2.0,0
2024,6,ICN-FUK,FUK,0.0,265590.0,8,8,1.0,0
2024,6,ICN-HIJ,HIJ,0.0,16505.0,1,2,2.0,0
2024,6,ICN-HND,HND,0.0,26785.0,3,2,0.6667,0
2024,6,ICN-KIJ,KIJ,0.0,2398.0,1,0,0.0,0
2024,6,ICN-KIX,KIX,0.0,347057.0,9,12,1.3333,0
2024,6,ICN-KKJ,KKJ,0.0,9024.0,1,0,0.0,0
2024,6,ICN-KMI,KMI,0.0,3057.0,1,0,0.0,0
2024,6,ICN-KMJ,KMJ,0.0,8017.0,1,2,2.0,0
2024,6,ICN-KOJ,KOJ,0.0,2489.0,1,0,0.0,0
2024,6,ICN-MYJ,MYJ,0.0,16027.0,1,2,2.0,0
2024,6,ICN-NGO,NGO,0.0,76899.0,4,2,0.5,0
2024,6,ICN-NRT,NRT,0.0,383188.0,13,12,0.9231,0
2024,6,ICN-OIT,OIT,0.0,6738.0,1,2,2.0,0
2024,6,ICN-OKA,OKA,0.0,47795.0,5,4,0.8,0
