year,airline_name,seat_supply,flight_count,passenger_count,cargo_ton,load_factor_proxy,passengers_per_flight,passenger_growth_rate,flight_growth_rate,seat_supply_growth_rate,is_lcc
2024,제주항공(JJA),14838465.0,80648.0,13352539.0,135510.0,0.8999,165.57,8.48,8.8,8.32,True
2025,제주항공(JJA),14117409.0,75359.0,12231670.0,104927.0,0.8664,162.31,-8.39,-6.56,-4.86,True
2026,제주항공(JJA),9866955.0,52537.0,8986946.0,79562.0,0.9108,171.06,-26.53,-30.28,-30.11,True
2022,제트스타(JST),17085.0,52.0,15619.0,368.0,0.9142,300.37,,,,False
2023,제트스타(JST),110215.0,329.0,95373.0,2368.0,0.8653,289.89,510.62,532.69,545.1,False
2024,제트스타(JST),232490.0,695.0,197737.0,5702.0,0.8505,284.51,107.33,111.25,110.94,False
2025,제트스타(JST),299825.0,895.0,262984.0,8562.0,0.8771,293.84,33.0,28.78,28.96,False
2026,제트스타(JST),223780.0,668.0,198735.0,6564.0,0.8881,297.51,-24.43,-25.36,-25.36,False
2022,젯스타퍼시픽항공(PIC),10788.0,64.0,8899.0,141.0,0.8249,139.05,,,,True
2023,젯스타퍼시픽항공(PIC),74586.0,401.0,59559.0,801.0,0.7985,148.53,569.28,526.56,591.38,True
2024,젯스타퍼시픽항공(PIC),22506.0,121.0,20067.0,281.0,0.8916,165.84,-66.31,-69.83,-69.83,True
2022,중국국제항공(CCA),43923.0,186.0,26807.0,1049.0,0.6103,144.12,,,,False
2023,중국국제항공(CCA),817288.0,4618.0,489589.0,8427.0,0.599,106.02,1726.35,2382.8,1760.73,False
2024,중국국제항공(CCA),1369247.0,7550.0,1022572.0,18637.0,0.7468,135.44,108.86,63.49,67.54,False
2025,중국국제항공(CCA),1443173.0,8098.0,1150100.0,18404.0,0.7969,142.02,12.47,7.26,5.4,False
2026,중국국제항공(CCA),1203865.0,6194.0,1057649.0,23520.0,0.8785,170.75,-8.04,-23.51,-16.58,False
2022,중국길상항공(준야오항공)(DKH),10836.0,42.0,4913.0,130.0,0.4534,116.98,,,,False
2023,중국길상항공(준야오항공)(DKH),198894.0,1146.0,141640.0,1673.0,0.7121,123.6,2782.96,2628.57,1735.49,False
2024,중국길상항공(준야오항공)(DKH),319628.0,1788.0,249234.0,2535.0,0.7798,139.39,75.96,56.02,60.7,False
2025,중국길상항공(준야오항공)(DKH),371078.0,2016.0,305403.0,3135.0,0.823,151.49,22.54,12.75,16.1,False
2026,중국길상항공(준야오항공)(DKH),303052.0,1728.0,259526.0,2708.0,0.8564,150.19,-15.02,-14.29,-18.33,False
